name,level,region,address,price,open_time,visit_duration,best_visit_time,source_url,source_site,crawl_time
张一元天桥茶馆,\N,西城区,老北京新世界游乐园原址、现东方饭店对面（现西城区万明路18号）,2-5、9-12、22-25号桌：80元/1位 1、6、8、13、15-20、26号桌：60元/1位 7、14、21、29、30、31号桌：50元/1位 17-24/29/30/35/36号桌：60元/1位 27、28、32、33号桌：40元/1位 说明：每桌6位，每位赠饮张一元精品茗茶一杯。 2-5、9-12、22-25号桌：80元/1位 1、6、8、13、15-20、26号桌：60元/1位 7、14、21、29、30、31号桌：50元/1位 17-24/29/30/35/36号桌：60元/1位 27、28、32、33号桌：40元/1位 说明：每桌6位，每位赠饮张一元精品茗茶一杯。 2-5、9-12、22-25号桌：80元/1位 1、6、8、13、15-20、26号桌：60元/1位 7、14、21、29、30、31号桌：50元/1位 17-24/29/30/35/36号桌：60元/1位 27、28、32、33号桌：40元/1位 说明：每桌6位，每位赠饮张一元精品茗茶一杯。 2-5、9-12、22-25号桌：80元/1位 1、6、8、13、15-20、26号桌：60元/1位 7、14、21、29、30、31号桌：50元/1位 17-24/29/30/35/36号桌：60元/1位 27、28、32、33号桌：40元/1位 说明：每桌6位，每位赠饮张一元精品茗茶一杯。 2-5、9-12、22-25号桌：80元/1位 1、6、8、13、15-20、26号桌：60元/1位 7、14、21、29、30、31号桌：50元/1位 17-24/29/30/35/36号桌：60元/1位 27、28、32、33号桌：40元/1位 说明：每桌6位，每位赠饮张一元精品茗茶一杯。,晚场：每周二至周日：19：00开始 下午场：每周六、周日14:00开始,\N,\N,https://s.visitbeijing.com.cn/attraction/120209,北京市文旅局/北京旅游网,2026-03-24T17:19:40
三庆园剧场,\N,西城区,北京西城区大栅栏街18号,一楼散座 02-03号桌：120元/1位 01/04/05-08号桌：100元/1位 09-16号桌：80元/1位 17-24/29/30/35/36号桌：60元/1位 25-28/31/32/37/38号桌40元/1位 33/34/39/40号桌：20元/1位 二楼包厢 正包：180元/1位 东/西侧座：80元/1位 一楼散座 02-03号桌：120元/1位 01/04/05-08号桌：100元/1位 09-16号桌：80元/1位 17-24/29/30/35/36号桌：60元/1位 25-28/31/32/37/38号桌40元/1位 33/34/39/40号桌：20元/1位 二楼包厢 正包：180元/1位 东/西侧座：80元/1位 一楼散座 02-03号桌：120元/1位 01/04/05-08号桌：100元/1位 09-16号桌：80元/1位 17-24/29/30/35/36号桌：60元/1位 25-28/31/32/37/38号桌40元/1位 33/34/39/40号桌：20元/1位 二楼包厢 正包：180元/1位 东/西侧座：80元/1位 一楼散座 02-03号桌：120元/1位 01/04/05-08号桌：100元/1位 09-16号桌：80元/1位 17-24/29/30/35/36号桌：60元/1位 25-28/31/32/37/38号桌40元/1位 33/34/39/40号桌：20元/1位 二楼包厢 正包：180元/1位 东/西侧座：80元/1位 一楼散座 02-03号桌：120元/1位 01/04/05-08号桌：100元/1位 09-16号桌：80元/1位 17-24/29/30/35/36号桌：60元/1位 25-28/31/32/37/38号桌40元/1位 33/34/39/40号桌：20元/1位 二楼包厢 正包：180元/1位 东/西侧座：80元/1位,每逢周一，剧场休息（无演出） 晚场：每周二至周日：19：00-21：00（相声大会） 下午场：每周二至周日：14：00-16：00（相声大会）,\N,全年,https://s.visitbeijing.com.cn/attraction/120201,北京市文旅局/北京旅游网,2026-03-24T17:19:40
广德楼戏园,\N,西城区,北京市西城区前门大栅栏大街39号,散座 前区:120元/1位 后区:100元/1位 包厢 一楼包厢：300元/1位 二楼包厢600元/1位 散座 前区:120元/1位 后区:100元/1位 包厢 一楼包厢：300元/1位 二楼包厢600元/1位 散座 前区:120元/1位 后区:100元/1位 包厢 一楼包厢：300元/1位 二楼包厢600元/1位 散座 前区:120元/1位 后区:100元/1位 包厢 一楼包厢：300元/1位 二楼包厢600元/1位 散座 前区:120元/1位 后区:100元/1位 包厢 一楼包厢：300元/1位 二楼包厢600元/1位,下午场：周六、周日下午14:00开始 晚场：每周二至周日晚19:00开始,\N,\N,https://s.visitbeijing.com.cn/attraction/120200,北京市文旅局/北京旅游网,2026-03-24T17:19:40
北京德云社剧场,\N,北京市宣武区,北京市宣武区北纬路甲1号（北纬路东口、天桥剧场斜对面）,一楼散座（每桌6位） 01-08号桌：120元/1位 09-16号桌：100元/1位 17-24号桌：80元/1位 25-32号桌：60元/1位 33、35号桌：40元/1位（两侧廊下） 34、36号桌：20元/1位（两侧廊下） 二楼包厢（每包厢5位，含茶水、小吃、果盘） 正包厢：600元 侧包厢：500元 一楼散座（每桌6位） 01-08号桌：120元/1位 09-16号桌：100元/1位 17-24号桌：80元/1位 25-32号桌：60元/1位 33、35号桌：40元/1位（两侧廊下） 34、36号桌：20元/1位（两侧廊下） 二楼包厢（每包厢5位，含茶水、小吃、果盘） 正包厢：600元 侧包厢：500元 一楼散座（每桌6位） 01-08号桌：120元/1位 09-16号桌：100元/1位 17-24号桌：80元/1位 25-32号桌：60元/1位 33、35号桌：40元/1位（两侧廊下） 34、36号桌：20元/1位（两侧廊下） 二楼包厢（每包厢5位，含茶水、小吃、果盘） 正包厢：600元 侧包厢：500元 一楼散座（每桌6位） 01-08号桌：120元/1位 09-16号桌：100元/1位 17-24号桌：80元/1位 25-32号桌：60元/1位 33、35号桌：40元/1位（两侧廊下） 34、36号桌：20元/1位（两侧廊下） 二楼包厢（每包厢5位，含茶水、小吃、果盘） 正包厢：600元 侧包厢：500元 一楼散座（每桌6位） 01-08号桌：120元/1位 09-16号桌：100元/1位 17-24号桌：80元/1位 25-32号桌：60元/1位 33、35号桌：40元/1位（两侧廊下） 34、36号桌：20元/1位（两侧廊下） 二楼包厢（每包厢5位，含茶水、小吃、果盘） 正包厢：600元 侧包厢：500元,每逢周一，剧场休息（无演出） 晚 场：每周二至周日19:15-22:00 每周六、周日14:00-17:00,\N,全年,https://s.visitbeijing.com.cn/attraction/120198,北京市文旅局/北京旅游网,2026-03-24T17:19:40
长椿苑,\N,\N,长椿街,门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准） 门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准） 门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准） 门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准） 门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准）,开放时间：9：00-17：00,半小时,全年,https://s.visitbeijing.com.cn/attraction/119978,北京市文旅局/北京旅游网,2026-03-24T17:19:40
西便门城墙遗址公园,\N,西城区,西城区西便门桥区,门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准） 门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准） 门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准） 门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准） 门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准）,开放时间：全天,1小时,\N,https://s.visitbeijing.com.cn/attraction/119977,北京市文旅局/北京旅游网,2026-03-24T17:19:40
翠芳园,\N,\N,沿二环路到西二环天宁寺桥东南方向,门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准） 门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准） 门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准） 门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准） 门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准）,开放时间：9：00-17：00,1小时,全年,https://s.visitbeijing.com.cn/attraction/119976,北京市文旅局/北京旅游网,2026-03-24T17:19:41
顺成公园,\N,\N,西二环东侧百盛大厦至官园桥,开放时间：9：00-17：00 开放时间：9：00-17：00 开放时间：9：00-17：00 开放时间：9：00-17：00 开放时间：9：00-17：00,开放时间：9：00-17：00,1小时,全年,https://s.visitbeijing.com.cn/attraction/119975,北京市文旅局/北京旅游网,2026-03-24T17:19:41
白云公园,\N,西城区,西城区北滨河路到木樨园桥,门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准） 门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准） 门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准） 门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准） 门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准）,开放时间：9：00-17：00,2小时,\N,https://s.visitbeijing.com.cn/attraction/119974,北京市文旅局/北京旅游网,2026-03-24T17:19:41
会城门公园,\N,\N,北峰窝中路东端尽头（双贝子坟路）,门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准） 门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准） 门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准） 门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准） 门票价格：免费（此价格仅供参考，如有变动，请以景区实价为标准）,开放时间：6：00-21：00,1小时,全年,https://s.visitbeijing.com.cn/attraction/119630,北京市文旅局/北京旅游网,2026-03-24T17:19:41
